MAHARASHTRA
273. Shahade (M Cl) [ MAH, Population: 49696, Class - III ]
274. Shahapur (CT) [ MAH, Population: 10490, Class - IV ]
275. Shegaon (M Cl) [ MAH, Population: 52423, Class - II ]
276. Shelar (CT) [ MAH, Population: 10612, Class - IV ]
277. Shendurjana (M Cl) [ MAH, Population: 21083, Class - III ]
278. Shirdi (M Cl) [ MAH, Population: 26184, Class - III ]
279. Shirpur-Warwade (M Cl) [ MAH, Population: 61694, Class - II ]
280. Shirur (M Cl) [ MAH, Population: 26999, Class - III ]
281. Shirwal (CT) [ MAH, Population: 11836, Class - IV ]
282. Shivaji Nagar (CT) [ MAH, Population: 14797, Class - IV ]
283. Shivatkar (Nira) (CT) [ MAH, Population: 10135, Class - IV ]
284. Shrigonda (M Cl) [ MAH, Population: 26324, Class - III ]
285. Shrirampur UA [ MAH, Population: 88761, Class - II ]
286. Shrivardhan (M Cl) [ MAH, Population: 15186, Class - IV ]
287. Sillewada (CT) [ MAH, Population: 8503, Class - V ]
288. Sillod (M Cl) [ MAH, Population: 43867, Class - III ]
289. Sindi (M Cl) [ MAH, Population: 13052, Class - IV ] 
List of towns: Census of India 2001 Maharashtra– Page 11 of 13
MAHARASHTRA (Continued):
290. Sindi Turf Hindnagar (CT) [ MAH, Population: 15554, Class - IV ]
291. Sindkhed Raja (M Cl) [ MAH, Population: 13941, Class - IV ]
292. Singnapur (CT) [ MAH, Population: 10860, Class - IV ]
293. Sinnar (M Cl) [ MAH, Population: 31630, Class - III ]
294. Solapur (M Corp.) [ MAH, Population: 872478, Class - I ]
295. Sonegaon (Nipani) (CT) [ MAH, Population: 12005, Class - IV ]
296. Sonpeth (M Cl) [ MAH, Population: 13022, Class - IV ]
297. Soyagaon (CT) [ MAH, Population: 21819, Class - III ]
298. Surgana (CT) [ MAH, Population: 6147, Class - V ]
299. Talegaon Dabhade (M Cl) [ MAH, Population: 42578, Class - III ]
300. Talode (M Cl) [ MAH, Population: 25036, Class - III ]
301. Taloje Panchnad (CT) [ MAH, Population: 10839, Class - IV ]
302. Tarapur (CT) [ MAH, Population: 7014, Class - V ]
303. Tasgaon (M Cl) [ MAH, Population: 33457, Class - III ]
304. Tathavade (CT) [ MAH, Population: 7976, Class - V ]
305. Telhara (M Cl) [ MAH, Population: 18906, Class - IV ]
306. Tirora (M Cl) [ MAH, Population: 22529, Class - III ]
307. Totaladoh (CT) [ MAH, Population: 2336, Class - VI ]
308. Trimbak (M Cl) [ MAH, Population: 9804, Class - V ]
309. Tuljapur (M Cl) [ MAH, Population: 31706, Class - III ]
310. Tumsar (M Cl) [ MAH, Population: 42021, Class - III ]
311. Uchgaon (CT) [ MAH, Population: 22548, Class - III ]
312. Udgir (M Cl) [ MAH, Population: 91933, Class - II ]
313. Umarga (M Cl) [ MAH, Population: 30178, Class - III ]
314. Umarkhed (M Cl) [ MAH, Population: 34059, Class - III ]
315. Umbar Pada Nandade (CT) [ MAH, Population: 5689, Class - V ]
316. Umred (M Cl) [ MAH, Population: 49577, Class - III ]
317. Umri Pragane Balapur (CT) [ MAH, Population: 16264, Class - IV ]
318. Uran (M Cl) [ MAH, Population: 23251, Class - III ] 
List of towns: Census of India 2001 Maharashtra– Page 12 of 13
MAHARASHTRA (Continued):
319. Uran Islampur (M Cl) [ MAH, Population: 58330, Class - II ]
320. Utekhol (CT) [ MAH, Population: 7291, Class - V ]
321. Vada (CT) [ MAH, Population: 14286, Class - IV ]
322. Vadgaon (CT) [ MAH, Population: 11364, Class - IV ]
323. Vadgaon Kasba (M Cl) [ MAH, Population: 22758, Class - III ]
324. Vaijapur (M Cl) [ MAH, Population: 37064, Class - III ]
325. Vanvadi (Sadashivgad) (CT) [ MAH, Population: 3942, Class - VI ]
326. Vasai UA [ MAH, Population: 174396, Class - I ]
327. Vasantnagar (CT) [ MAH, Population: 4116, Class - VI ]
328. Vashind (CT) [ MAH, Population: 15881, Class - IV ]
329. Vengurla (M Cl) [ MAH, Population: 12471, Class - IV ]
330. Virar (M Cl) [ MAH, Population: 118928, Class - I ]
331. Vita (M Cl) [ MAH, Population: 41804, Class - III ]
332. Wadgaon Road (CT) [ MAH, Population: 30756, Class - III ]
333. Waghapur (CT) [ MAH, Population: 8307, Class - V ]
334. Wai (M Cl) [ MAH, Population: 31110, Class - III ]
335. Wajegaon (CT) [ MAH, Population: 7664, Class - V ]
336. Walani (CT) [ MAH, Population: 10716, Class - IV ]
337. Waliv (CT) [ MAH, Population: 15388, Class - IV ]
338. Wanadongri (CT) [ MAH, Population: 17181, Class - IV ]
339. Wani (M Cl) [ MAH, Population: 52834, Class - II ]
340. Wardha (M Cl) [ MAH, Population: 111118, Class - I ]
341. Warora (M Cl) [ MAH, Population: 41971, Class - III ]
342. Warud (M Cl) [ MAH, Population: 41005, Class - III ]
343. Washim (M Cl) [ MAH, Population: 62956, Class - II ]
344. Yavatmal UA [ MAH, Population: 139835, Class - I ]
345. Yawal (M Cl) [ MAH, Population: 31803, Class - III ]
346. Yerkheda (CT) [ MAH, Population: 10376, Class - IV ]
347. Yevla (M Cl) [ MAH, Population: 43207, Class - III ] 
List of towns: Census of India 2001 Maharashtra– Page 13 of 13
Notes:
Abbreviations used:
C.B.- Cantonment Board/Cantonment; C.M.C.- City Municipal Council; E.O - Estate Office; G.P.- Gram
Panchayat; I.N.A.- Industrial Notified Area; I.T.S.- Industrial Township; M – Municipality; M.B.- Municipal
Board; M.C.- Municipal Committee; M.Cl.- Municipal Council; M.Corp.- Municipal Corporation/Corporation;
